"@timestamp","_id","_index","_score","_type","api_version",apikey,"app_id","call_cid","channel_cid","client_request_id","collect_time","data_stream.dataset","data_stream.namespace","data_stream.type","envoy-attempt-count","envoy-is-timeout-retry","error_code","error_message","error_message_5xx",filename,host,hostname,httpversion,level,msg,"operation_type",product,"read_request_body_time",referrer,request,"request_id","request_size","request_time",response,"response_size",service,"source_type","stream-auth-type","stream_region","stream_shard","text_metadata",time,"trace_id",type,"user_agent","user_id",verb,"write_response_body_time","x-stream-client"
"Jun 5, 2025 @ 18:00:17.583",m2FAQZcBH0ruz8mWeovo,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",y4tp4akjeb49,"61,795","(empty)","(empty)","fbd49e0a-a517-4d0c-a056-221b830d8b5c","Jun 5, 2025 @ 18:00:17.586",logs,production,chat,1,"(empty)",4,"{""code"":4,""message"":""UpdateUsersPartial failed with error: \""users is a required field\"""",""exception_fields"":{""users"":""users is a required field""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.172.71","us-east-c3-chat-api-10-5-67-197.p.us-east-1d","HTTP/1.1",warning,"access log",UpdateUsersPartial,chat,0,"(empty)","/users?api_key=y4tp4akjeb49","11fde026-95aa-488b-87d9-213f3c34fc0d",12,1,400,262,"chat-api",vector,jwt,"us-east",c3,"{
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.583",NotSampled,chat,"axios/1.8.4","(empty)",PATCH,0,"stream-chat-js-v8.57.6-node"
"Jun 5, 2025 @ 18:00:17.582",lltHQZcBIFjtb5w1CwjV,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",5atrzgj57x69,"76,633","(empty)","livestream:Backstage_376757","(empty)","Jun 5, 2025 @ 18:00:17.587",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""DeleteChannel failed with error: \""Can't find channel with id livestream:Backstage_376757\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.167.230","us-east-c6-chat-api-10-5-36-28.p.us-east-1c","HTTP/1.1",warning,"access log",DeleteChannel,chat,0,"(empty)","/channels/livestream/Backstage_376757?api_key=5atrzgj57x69","1b86f1ff-f40b-4541-bc44-1226b4eb9680",0,2,404,230,"chat-api",vector,jwt,"us-east",c6,"{
  ""channel_cid"": ""livestream:Backstage_376757"",
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.582",NotSampled,chat,"unirest-java/1.3.11","(empty)",DELETE,0,"-"
"Jun 5, 2025 @ 18:00:17.578",KzBAQZcBywZ65pD9XHdf,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",3c3f79gcn223,"1,179,563","(empty)","(empty)","(empty)","Jun 5, 2025 @ 18:00:17.582",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 99917942 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.3.115.134","dublin-c6-chat-api-10-3-44-31.p.eu-west-1b","HTTP/1.1",warning,"access log",UnreadCounts,chat,0,"(empty)","/unread?user_id=99917942","c77695b5-77c3-4277-96d4-5a42417eb081",0,4,404,207,"chat-api",vector,jwt,dublin,c6,"{
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.578",NotSampled,chat,"okhttp/3.14.9","(empty)",GET,0,"-"
"Jun 5, 2025 @ 18:00:17.575",QWNAQZcBi3KOrRc0bsDF,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",5atrzgj57x69,"76,633","(empty)","livestream:Session_376757","(empty)","Jun 5, 2025 @ 18:00:17.581",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""DeleteChannel failed with error: \""Can't find channel with id livestream:Session_376757\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.167.230","us-east-c6-chat-api-10-5-68-240.p.us-east-1d","HTTP/1.1",warning,"access log",DeleteChannel,chat,0,"(empty)","/channels/livestream/Session_376757?api_key=5atrzgj57x69","3b37e911-0b2c-4c6e-a627-9aeaba77c6e8",0,3,404,228,"chat-api",vector,jwt,"us-east",c6,"{
  ""channel_cid"": ""livestream:Session_376757"",
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.575",NotSampled,chat,"unirest-java/1.3.11","(empty)",DELETE,0,"-"
"Jun 5, 2025 @ 18:00:17.567",QGNAQZcBi3KOrRc0bsDF,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",5atrzgj57x69,"76,633","(empty)","livestream:Backstage_376756","(empty)","Jun 5, 2025 @ 18:00:17.573",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""DeleteChannel failed with error: \""Can't find channel with id livestream:Backstage_376756\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.167.230","us-east-c6-chat-api-10-5-68-240.p.us-east-1d","HTTP/1.1",warning,"access log",DeleteChannel,chat,0,"(empty)","/channels/livestream/Backstage_376756?api_key=5atrzgj57x69","be250b1b-30b7-4afc-8109-5d0c5173f58e",0,3,404,230,"chat-api",vector,jwt,"us-east",c6,"{
  ""channel_cid"": ""livestream:Backstage_376756"",
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.567",e00a2d3cdb18ce4d0e0338252dbc9c41,chat,"unirest-java/1.3.11","(empty)",DELETE,0,"-"
"Jun 5, 2025 @ 18:00:17.557",kltHQZcBIFjtb5w1CwjV,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",5atrzgj57x69,"76,633","(empty)","livestream:Session_376756","(empty)","Jun 5, 2025 @ 18:00:17.564",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""DeleteChannel failed with error: \""Can't find channel with id livestream:Session_376756\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.167.230","us-east-c6-chat-api-10-5-36-28.p.us-east-1c","HTTP/1.1",warning,"access log",DeleteChannel,chat,0,"(empty)","/channels/livestream/Session_376756?api_key=5atrzgj57x69","d943352c-0d2c-4505-84fa-983998f74c07",0,4,404,228,"chat-api",vector,jwt,"us-east",c6,"{
  ""channel_cid"": ""livestream:Session_376756"",
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.557",NotSampled,chat,"unirest-java/1.3.11","(empty)",DELETE,0,"-"
"Jun 5, 2025 @ 18:00:17.555",lBZAQZcBZCWg1ZHjkhRt,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",y4tp4akjeb49,"61,795","(empty)","(empty)","5fc0e4b7-73e7-4c29-985e-5bdc5feb17a9","Jun 5, 2025 @ 18:00:17.560",logs,production,chat,1,"(empty)",4,"{""code"":4,""message"":""UpdateUsersPartial failed with error: \""users is a required field\"""",""exception_fields"":{""users"":""users is a required field""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.160.68","us-east-c3-chat-api-10-5-67-15.p.us-east-1d","HTTP/1.1",warning,"access log",UpdateUsersPartial,chat,0,"(empty)","/users?api_key=y4tp4akjeb49","81c1ea25-bb97-41c1-ad3f-d3a4059843d2",12,1,400,262,"chat-api",vector,jwt,"us-east",c3,"{
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.555",NotSampled,chat,"axios/1.8.4","(empty)",PATCH,0,"stream-chat-js-v8.57.6-node"
"Jun 5, 2025 @ 18:00:17.552",RfdBQZcBCYUJnuLCDdLZ,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",bpf7b5f898xj,"1,266,177","(empty)","(empty)","(empty)","Jun 5, 2025 @ 18:00:17.562",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c5ad81e412b33c32955d4e6165f3297aa1816a1134c7dd964a7b286f479b54317bfed275e67b401e76a0ac8e6a4150ae3f8950ed does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.3.158.242","dublin-c5-chat-api-10-3-23-154.p.eu-west-1a","HTTP/1.1",warning,"access log",UnreadCounts,chat,0,"(empty)","/unread?user_id=1-c5ad81e412b33c32955d4e6165f3297aa1816a1134c7dd964a7b286f479b54317bfed275e67b401e76a0ac8e6a4150ae3f8950ed&api_key=bpf7b5f898xj","3ad2693c-b928-4f56-ad0f-c832c43aac38",0,7,404,305,"chat-api",vector,jwt,dublin,c5,"{
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.552",NotSampled,chat,"okhttp/4.12.0","(empty)",GET,0,"stream-java-client-1.29.0"
"Jun 5, 2025 @ 18:00:17.549",kVtHQZcBIFjtb5w1CwjV,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",5atrzgj57x69,"76,633","(empty)","livestream:Backstage_376752","(empty)","Jun 5, 2025 @ 18:00:17.556",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""DeleteChannel failed with error: \""Can't find channel with id livestream:Backstage_376752\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.5.167.230","us-east-c6-chat-api-10-5-36-28.p.us-east-1c","HTTP/1.1",warning,"access log",DeleteChannel,chat,0,"(empty)","/channels/livestream/Backstage_376752?api_key=5atrzgj57x69","8ecbd779-f839-49df-a46c-66bc97a73d5a",0,2,404,230,"chat-api",vector,jwt,"us-east",c6,"{
  ""channel_cid"": ""livestream:Backstage_376752"",
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.549",NotSampled,chat,"unirest-java/1.3.11","(empty)",DELETE,0,"-"
"Jun 5, 2025 @ 18:00:17.546",M1lAQZcBvmhThexQtTCv,".ds-chat-logs-production-2025.06.05-000515","-","_doc","(empty)",bpf7b5f898xj,"1,266,177","(empty)","(empty)","(empty)","Jun 5, 2025 @ 18:00:17.553",logs,production,chat,1,"(empty)",16,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-91a7d2e244bb393795064a6e35f3297ea0826a116d93dd9619257f3a46c40c3528fb81230bb04927135eaf0c93137c954d8b9379 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","(empty)","/var/log/chat.json.access.log","10.3.129.22","dublin-c5-chat-api-10-3-60-98.p.eu-west-1c","HTTP/1.1",warning,"access log",UnreadCounts,chat,0,"(empty)","/unread?user_id=1-91a7d2e244bb393795064a6e35f3297ea0826a116d93dd9619257f3a46c40c3528fb81230bb04927135eaf0c93137c954d8b9379&api_key=bpf7b5f898xj","2c0666a8-b0e0-408c-a9b5-2435be4c083a",0,3,404,305,"chat-api",vector,jwt,dublin,c5,"{
  ""version"": """"
}
","Jun 5, 2025 @ 18:00:17.546",NotSampled,chat,"okhttp/4.12.0","(empty)",GET,0,"stream-java-client-1.29.0"
