"@timestamp","operation_type",response,"error_message","x-stream-client",product,"error_code"
"Jun 16, 2025 @ 01:27:57.957",GetOrCreateChannel,429,"{""code"":9,""message"":""GetOrCreateChannel failed with error: \""Too many requests for user: fc987ae13aad0cfa961a1d5a03edd505, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.60.0-browser",chat,9
"Jun 16, 2025 @ 01:27:57.899",UnreadCounts,404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 99728003 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","-",chat,16
"Jun 16, 2025 @ 01:27:57.895",GetOrCreateChannel,429,"{""code"":9,""message"":""GetOrCreateChannel failed with error: \""Too many requests for user: 5620708525934, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-compose-6.5.3|os=Android 14|api_version=34|device_vendor=samsung|device_model=SM-A556E|offline_enabled=true",chat,9
"Jun 16, 2025 @ 01:27:57.888",UpdateUsersPartial,404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: d096dfa0-5c6a-4b94-a434-28bb92517a90\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",chat,16
"Jun 16, 2025 @ 01:27:57.703",QueryChannels,403,"{""code"":70,""message"":""QueryChannels failed with error: \""1 channels match your query but cannot be returned because you don't have access to them. Did you forget to include {members: $in: [\""43fd0504-8091-4177-b61d-7804aa5971f4\""]}?\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-javascript-client-browser-8.45.0",chat,70
"Jun 16, 2025 @ 01:27:57.687",QueryChannels,404,"{""code"":16,""message"":""QueryChannels failed with error: \""the user e2517ab8-70f2-4e22-8343-f4140094f0e1 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.26.2",chat,16
"Jun 16, 2025 @ 01:27:57.640",UpdateUsersPartial,404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 1c16c971-e7f8-423f-b77a-2d9d7c555262\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",chat,16
"Jun 16, 2025 @ 01:27:57.637",QueryDrafts,429,"{""code"":9,""message"":""QueryDrafts failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.14.0|os=Android 9|api_version=28|device_model=motorola moto g(8) power lite|offline_enabled=true|app=Luzia|app_version=4.22.0",chat,9
"Jun 16, 2025 @ 01:27:57.455",UnreadCounts,404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c1ac81e112ba6e6195534d6e63f3297af1836a1167c281964c277f6c47cd0c352bf884243466693bcadad0c814a8788d879201c6 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",chat,16
"Jun 16, 2025 @ 01:27:57.384",UnreadCounts,404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-91a3d7e614ba6b3d9550183630f3292da5d76a4a33c7dd9649767868159e56347cfa8627e056609b6c8080b1330771e289c8f7a6 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",chat,16
